ACARACOACARAPNA PNA;ACCC5L
ADVANCED-DH ON;ADHM9
ADVANCED-DH ON;ADHM3
ADVANCED-DH ON;ADHM1
AES TIETE E;TIET-DEB43L0
AES TIET� PN;TIET4
AES TIET� ON;TIET3
AES TIETE E;TIET-DEB43L1
AES TIETE E;TIET-DEB43B0
AFLUENTE ON;AFLT3
Agro Industrial De Cerea... PNB;AGVE6L
Agro Industrial De Cerea... PNA;AGVE5L
Agro Pontal PNA PNA;AGPP5L
Agroindustrial e Pastori... PNA;AIPN5L
AGROMASSA PNA PNA;ARSA5L
Agropecuaria Belo Horizo... PNA;AGBH5L
Agropecuaria Santa Rosa PNA;AGSR5L
Agropecuaria Serra Azul PNA;AGSA5L
Agropecuaria Vale Rio Acre PNA;VLRA5L
Agropecuaria Vale Rio Acre PNC;VLRA7L
Alef ON;ALEF3B
ALFA PNA;RPAD5
ALFA PNB;RPAD6
ALFA ON;RPAD3
Allpark Empreendimentos ... ON;ALPK3
ALPER ON;APER9
ALPER ON;APER3
ALPER ON;APER1
Alumazon Componentes Ama... PNA;ALMZ5L
Aluminio Extrudado Brasi... PN;ALMN4L
ALUPAR ON;ALUP3
ALUPAR PN;ALUP4
Amazon Golf PNA;AZGT5L
AMBEV S/A ON;ABEV3
Ambipar Participacoes e ... ON;AMBP3
AMPLA ENERG ON;CBEE3
Andrade Gutierrez Partic... ON;CANT3B
Andrade Gutierrez Partic... PN;CANT4
Andrade Gutierrez Partic... ON;CANT3
Andrade Gutierrez Partic... PN;CANT4B
Angelica Pna PNA;SAIS5L
ANIMA ON;ANIM3
APIACAS PNA PNA;APAK5L
Araguaia PNB;AHEV6L
AREZZO ON;ARZZ3
Arteris;ARTR-DEB530B
Arteris;ARTR-DEB53L1
Arteris;ARTR-DEB53L0
Arteris;ARTR-DEB53B0
ATMA ON;ATMP3
ATOMPAR ON;ATOM3
Avicola Princesa PNA;AVIP5L
AZEVEDO PN;AZEV4
AZEVEDO ON;AZEV3
AZUL PN;AZUL4
B2W DIGITAL ON;BTOW3
B2W DIGITAL ON;BTOW9
B2W DIGITAL ON;BTOW1
B3 SA - Brasil Bolsa Bal... ON;B3SA3
BAHEMA ON;BAHI9
BAHEMA EDUCA��O ON;BAHI3
BMG PN;BMGB4
BTG PACTUAL ON;BPAC3
BTG PACTUAL PNA;BPAC12
BTG PACTUAL PNA;BPAC5
BTG PACTUAL ON;BPAC9
BANCO INTER ON;BIDI14
BANCO INTER;BIDI13
BANCO INTER;BIDI12
BANCO INTER PN;BIDI10
BANCO INTER PN;BIDI15
BANCO INTER ON;BIDI3
BANCO INTER ON;BIDI1
BANCO INTER ON;BIDI9
BANCO INTER PN;BIDI4
BANCO INTER PN;BIDI2
BANCO INTER;BIDI16
BANCO PAN PN;BPAN4
BANCO PAN PN;BPAN10
SANTANDER BR ON;SANB3
SANTANDER BR PN;SANB4
BANESTES ON;BEES3
BANESTES PN;BEES4
BARDELLA ON;BDLL3
BARDELLA PN;BDLL4
BATTISTELLA ON;BTTL3
BAUMER ON;BALM3
BAUMER PN;BALM4
BBM LOG�STICA ON;BBML3
BB SEGURIDADE ON;BBSE3
ABC BRASIL PN;ABCB10
ABC BRASIL PN;ABCB2
ABC BRASIL PN;ABCB4
ALFA INVEST ON;BRIV3
ALFA INVEST PN;BRIV4
AMAZONIA ON;BAZA3
BRADESCO PN;BBDC4
BRADESCO ON;BBDC3
BANCO DO BRASIL ON;BBAS3
BANCO DO BRASIL ON;BBAS11
BANCO DO BRASIL ON;BBAS12
BANCO BANPAR� ON;BPAR3
BANRISUL PNB;BRSR6
BANRISUL ON;BRSR3
BANRISUL PNA;BRSR5
BANESE PN;BGIP4
BANESE ON;BGIP3
Bco Finansinos ON;FNCN3
INDUSVAL ON;IDVL3
INDUSVAL PN;IDVL4
BANCO MERCANTIL ON;BMEB3
BANCO MERCANTIL PN;BMEB4
MERC INVEST PN;BMIN4
MERC INVEST ON;BMIN3
BANCO NORDESTE ON;BNBR3
PINE PN;PINE4
PINE ON;PINE3
PINE ON;PINE9
PINE PN;PINE10
PINE PN;PINE2
PINE ON;PINE1
BDRX;BDRX11
Betapart Participacoes ON;BETP3B
BIC MONARK ON;BMKS3
BIOMM ON;BIOM11
BIOMM ON;BIOM3
BIOMM ON;BIOM1
BIOMM ON;BIOM9
BIOSEV ON;BSEV3
BURGUER KING BRASIL ON;BKBR3
BOA VISTA ON;BOAS3
BOMBRIL ON;BOBR3
BOMBRIL PN;BOBR4
BR MALLS PAR ON;BRML3
BR PROPERT ON;BRPR3
Bradesco Real Estate Por...;BCIA12
BRADESPAR PN;BRAP4
BRADESPAR ON;BRAP3
BR BROKERS ON;BBRK3
BRASIL AGRO ON;AGRO3
BRASKEM PNA;BRKM5
BRASKEM PNB;BRKM6
BRASKEM ON;BRKM3
BRAZIL REALT;BZRS-CRI11B0
Brazilian Securities Cia...;BSCS-CRIT4B0
Brazilian Securities Cia...;BSCS-CRIT3B0
Brazilian Securities Cia...;BSCS-CRIT2B0
BRB BANCO ON;BSLI3
BRB BANCO PN;BSLI4
Brc Securitizadora;BRCS-CRI1AB0
BRC SECURIT;BRCS-CRI71B0
BRF S/A ON;BRFS3
Brilasa Britagem Laminac... PNB;BLSA6L
BRQ ON;BRQB3
C&A ON;CEAB3
Cabinda Participacoes ON;CABI3B
Caconde Participacoes ON;CACO9B
Caconde Participacoes ON;CACO3B
Caianda Participacoes ON;CAIA3B
CAMBUCI PN;CAMB4
Cambuci ON;CAMB3
CAMIL ALIMENTOS ON;CAML3
CAMILA PN PN;ACML4L
Capitalpart Participacoes ON;CPTP3B
CARREFOUR ON;CRFB3
CCR ON;CCRO3
CCX CARVAO ON;CCXC3
CEMAR PNA;ENMA5B
CEMAR ON;ENMA3B
Cemar-Cia Energetica Do ... PNB;EQMA6B
Cemar-Cia Energetica Do ... PNA;EQMA5B
Cemar-Cia Energetica Do ... ON;EQMA3B
CEMAR PNB;ENMA6B
CEMPE PN;MAPT4
CEMPE ON;MAPT3
Ceno Norte Pna PNA;CCNO5L
Centenor Empreendimentos PNE;CTNR11L
ELETROBRAS ON;ELET1
ELETROBRAS PNA;ELET5
ELETROBRAS PNB;ELET6
ELETROBRAS ON;ELET3
ELETROBRAS PNB;ELET11
CELESC PN;CLSC4
CELESC ON;CLSC3
ALLIAR ON;AALR3
CEPAC MCRJ CPA MB;MCRJ11B
CEPAC - CTBA;CTBA11BL
CEPAC-CTBA CPA MB;CTBA11B
CESP PNB;CESP6
CESP ON;CESP3
CESP PNA;CESP5
P.ACUCAR-CBD PN;PCAR4
P�O DE A�UCAR ON;PCAR3
CASAN PN;CASN2
CASAN ON;CASN1
CASAN ON;CASN3
CASAN PN;CASN4
CEG ON;CEGR3
COELBA PNA;CEEB5
COELBA ON;CEEB3
COELBA PNB;CEEB6
CEB PNB;CEBR6
CEB ON;CEBR3
CEB PNA;CEBR5
COELCE PNB;COCE6
COELCE PNA;COCE5
COELCE ON;COCE3
CEMIG PN;CMIG4
CEMIG ON;CMIG3
CELPE PNB;CEPE6
CELPE ON;CEPE3
CELPE PNA;CEPE5
COSERN PNB;CSRN6
COSERN ON;CSRN3
COSERN PNA;CSRN5
CEEE-D ON;CEED3
CEEE-D PN;CEED4
FERBASA PN;FESA4
FERBASA ON;FESA3
CEDRO ON;CEDO3
CEDRO PN;CEDO4
Cia Frigorifico Potengy PNB;PTGY6L
COMG�S ON;CGAS3
COMG�S PNA;CGAS5
HABITASUL ON;HBTS3
HABITASUL PNB;HBTS6
HABITASUL PNA;HBTS5
CIA HERING ON;HGTX3
IND CATAGUAS ON;CATA3
IND CATAGUAS PN;CATA4
LOCAMERICA ON;LCAM3
MELHOR SP PN;MSPA4
MELHOR SP ON;MSPA3
COPEL ON;CPLE3
COPEL PNA;CPLE5
COPEL PNB;CPLE6
PAR AL BAHIA ON;PEAB3
PAR AL BAHIA PN;PEAB4
SANEPAR PN;SAPR4
SANEPAR ON;SAPR3
COPASA ON;CSMG3
SEG AL BAHIA PN;CSAB4
SEG AL BAHIA ON;CSAB3
SID NACIONAL ON;CSNA3
COTEMINAS ON;CTNM3
COTEMINAS PN;CTNM4
SANTANENSE PND;CTSA8
SANTANENSE PN;CTSA4
SANTANENSE ON;CTSA3
ISA CTEEP ON;TRPL3
ISA CTEEP PN;TRPL4
Ciagra Cia Agropastorial... PNB;CIAG6L
Cibrasec Cia Bras Securi...;CBSC-CRA1BB0
Cibrasec Cia Bras Securi...;CBSC-CRA190B
CIBRASEC;CBSC-CRA210B
Cibrasec Cia Bras Securi...;CBSC-CRA12B0
CIBRASEC;CBSC-CRA1A0B
Cibrasec Cia Bras Securi...;CBSC-CRA19B0
Cibrasec Cia Bras Securi...;CBSC-CRA1B0B
CIBRASEC;CBSC-CRA1AB0
CIBRASEC;CBSC-CRA21B0
Cibrasec Cia Bras Securi...;CBSC-CRI3TB0
CIELO ON;CIEL3
Cims PN;CMSA4
Cims ON;CMSA3
Cinesystem ON;CNSY3
COGNA ON;COGN3
Common Stock ON;TF724
Common Stock ON;TF900
Common Stock ON;TF723
Common Stock ON;TF901
Common Stock ON;TF694
Common Stock ON;TF693
Common Stock ON;TF704
Common Stock ON;TF714
Common Stock ON;TF703
Common Stock ON;TF713
CELGPAR ON;GPAR3
CELGPAR ON;GPAR1
SABESP ON;SBSP3
CEEE-GT PN;EEEL4
CEEE-GT ON;EEEL3
Concessionaria Rio Teres... ON;CRTE3B
Concessionaria Rio Teres... PNA;CRTE5B
ODERICH PN;ODER4
ODERICH ON;ODER3
ALFA CONSORCIO PND;BRGE8
ALFA CONSORCIO PNE;BRGE11
ALFA CONSORCIO ON;BRGE3
ALFA CONSORCIO PNF;BRGE12
ALFA CONSORCIO PNC;BRGE7
ALFA CONSORCIO PNA;BRGE5
ALFA CONSORCIO PNB;BRGE6
CONSTRUTORA ADOLFO L ON;CALI3
CONSTRUTORA ADOLFO L PN;CALI4
TENDA ON;TEND3
COR RIBEIRO PN;CORR4
COR RIBEIRO ON;CORR3
COSAN LOG ON;RLOG3
COSAN ON;CSAN3
CPFL ENERGIA ON;CPFE3
CPFL RENOV�VEL ON;CPRE3L
CPFL RENOV�VEL ON;CPRE3
CR2 ON;CRDE3
CSU CARDSYSTEM ON;CARD3
CTC Centro De Tecnologia... ON;CTCA3
Curimare PNA;CRMR5L
Curimare PNB;CRMR6L
Cury Construtora E Incor... ON;CURY3
CVC BRASIL ON;CVCB3
CVC BRASIL ON;CVCB11
CVC BRASIL ON;CVCB1
CVC BRASIL ON;CVCB9
CYRELA REALT ON;CYRE3
CYRELA COMMERCIAL PROP ON;CCPR3
D1000 Varejo Farma Parti... ON;DMVF3
DASA ON;DASA1
DASA ON;DASA3
DIMED PN;PNVL4
DIMED ON;PNVL3
DIRECIONAL ON;DIRR3
DOHLER PN;DOHL4
DOHLER ON;DOHL3
DON CAROLINA PNA PNA;CRVD5L
DTCOM PN;DTCY4
DTCOM ON;DTCY3
DTCOM ON;DTCY1
DURATEX ON;DTEX3
E OULG11 B;OULG12B
ECO SEC AGRO;ECOA-CRAA50B
Eco Securitizadora Direi...;ECOA-CRAA40B
Eco Securitizadora Direi...;ECOA-CRA93B0
ECO SEC AGRO;ECOA-CRAA5B0
Eco Securitizadora Direi...;ECOA-CRA94B0
Eco Securitizadora Direi...;ECOA-CRAA6B0
Eco Securitizadora Direi...;ECOA-CRAC5B0
Eco Securitizadora Direi...;ECOA-CRAC50B
Eco Securitizadora Direi...;ECOA-CRAA7B0
